Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;Brisbane;0;+LOC+LOD, nGrams: 2;Percent Correct;0.897565;0
Boston;Brisbane;0;+LOC+LOD, nGrams: 2;Weighted Precision;0.889972;0
Boston;Brisbane;0;+LOC+LOD, nGrams: 2;Weighted Recall;0.897565;0
Boston;Brisbane;0;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.884608;0
Boston;Brisbane;0;+TIME+LOD, nGrams: 2;Percent Correct;0.907615;0
Boston;Brisbane;0;+TIME+LOD, nGrams: 2;Weighted Precision;0.905966;0
Boston;Brisbane;0;+TIME+LOD, nGrams: 2;Weighted Recall;0.907615;0
Boston;Brisbane;0;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.899254;0
Boston;Brisbane;0;+TYPES, nGrams: 2;Percent Correct;0.896792;0
Boston;Brisbane;0;+TYPES, nGrams: 2;Weighted Precision;0.885441;0
Boston;Brisbane;0;+TYPES, nGrams: 2;Weighted Recall;0.896792;0
Boston;Brisbane;0;+TYPES, nGrams: 2;Weighted F-Measure;0.878931;0
Boston;Brisbane;0;+CAT, nGrams: 2;Percent Correct;0.891767;0
Boston;Brisbane;0;+CAT, nGrams: 2;Weighted Precision;0.885547;0
Boston;Brisbane;0;+CAT, nGrams: 2;Weighted Recall;0.891767;0
Boston;Brisbane;0;+CAT, nGrams: 2;Weighted F-Measure;0.874984;0
Boston;Memphis4Classes;0;Baseline, nGrams: 2;Percent Correct;0.860175;0
Boston;Memphis4Classes;0;Baseline, nGrams: 2;Weighted Precision;0.893564;0
Boston;Memphis4Classes;0;Baseline, nGrams: 2;Weighted Recall;0.860175;0
Boston;Memphis4Classes;0;Baseline, nGrams: 2;Weighted F-Measure;0.872905;0
Boston;Memphis4Classes;0;+ALL, nGrams: 2;Percent Correct;0.862672;0
Boston;Memphis4Classes;0;+ALL, nGrams: 2;Weighted Precision;0.881972;0
Boston;Memphis4Classes;0;+ALL, nGrams: 2;Weighted Recall;0.862672;0
Boston;Memphis4Classes;0;+ALL, nGrams: 2;Weighted F-Measure;0.866687;0
Boston;Memphis4Classes;0;+LOC, nGrams: 2;Percent Correct;0.845194;0
Boston;Memphis4Classes;0;+LOC, nGrams: 2;Weighted Precision;0.888826;0
Boston;Memphis4Classes;0;+LOC, nGrams: 2;Weighted Recall;0.845194;0
Boston;Memphis4Classes;0;+LOC, nGrams: 2;Weighted F-Measure;0.860717;0
Boston;Memphis4Classes;0;+TIME, nGrams: 2;Percent Correct;0.851436;0
Boston;Memphis4Classes;0;+TIME, nGrams: 2;Weighted Precision;0.876538;0
Boston;Memphis4Classes;0;+TIME, nGrams: 2;Weighted Recall;0.851436;0
Boston;Memphis4Classes;0;+TIME, nGrams: 2;Weighted F-Measure;0.859120;0
Boston;Memphis4Classes;0;+LOD, nGrams: 2;Percent Correct;0.857678;0
Boston;Memphis4Classes;0;+LOD, nGrams: 2;Weighted Precision;0.872216;0
Boston;Memphis4Classes;0;+LOD, nGrams: 2;Weighted Recall;0.857678;0
Boston;Memphis4Classes;0;+LOD, nGrams: 2;Weighted F-Measure;0.859335;0
Boston;Memphis4Classes;0;+LOC+TIME, nGrams: 2;Percent Correct;0.842697;0
Boston;Memphis4Classes;0;+LOC+TIME, nGrams: 2;Weighted Precision;0.886130;0
Boston;Memphis4Classes;0;+LOC+TIME, nGrams: 2;Weighted Recall;0.842697;0
Boston;Memphis4Classes;0;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.860095;0
Boston;Memphis4Classes;0;+LOC+LOD, nGrams: 2;Percent Correct;0.831461;0
Boston;Memphis4Classes;0;+LOC+LOD, nGrams: 2;Weighted Precision;0.875808;0
Boston;Memphis4Classes;0;+LOC+LOD, nGrams: 2;Weighted Recall;0.831461;0
Boston;Memphis4Classes;0;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.847417;0
Boston;Memphis4Classes;0;+TIME+LOD, nGrams: 2;Percent Correct;0.833958;0
Boston;Memphis4Classes;0;+TIME+LOD, nGrams: 2;Weighted Precision;0.884416;0
Boston;Memphis4Classes;0;+TIME+LOD, nGrams: 2;Weighted Recall;0.833958;0
Boston;Memphis4Classes;0;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.851350;0
Boston;Memphis4Classes;0;+TYPES, nGrams: 2;Percent Correct;0.831461;0
Boston;Memphis4Classes;0;+TYPES, nGrams: 2;Weighted Precision;0.867916;0
